StockCode,Description,Date,Units_Sold,Revenue,Unit_Price,Year,Month,Quarter,Week,Day,DayOfWeek,Demand_Lag_1,Demand_Lag_2,Rolling_Mean_2,Naive_Forecast
85130D,BEADED CRYSTAL HEART PINK LARGE,2011-12-04,3,2.37,0.79,2011,12,4,48,4,6,0.0,0.0,0.75,5.0
85129D,BEADED CRYSTAL HEART PINK SMALL,2011-12-04,2,4.92,2.46,2011,12,4,48,4,6,2.0,2.0,2.75,2.0
85127,SMALL SQUARE CUT GLASS CANDLESTICK,2011-12-04,2,19.92,9.96,2011,12,4,48,4,6,5.0,6.0,5.75,4.0
72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2011-12-04,14,29.400000000000002,2.1,2011,12,4,48,4,6,9.0,8.0,9.75,3.0
85123a,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-04,5,33.15,6.63,2011,12,4,48,4,6,6.0,4.0,8.0,35.0
85114C,RED ENCHANTED FOREST PLACEMAT,2011-12-04,18,29.699999999999996,1.65,2011,12,4,48,4,6,55.0,16.0,23.5,13.0
85114B,IVORY ENCHANTED FOREST PLACEMAT,2011-12-04,14,23.099999999999998,1.65,2011,12,4,48,4,6,3.0,7.0,6.75,41.0
85114A,BLACK ENCHANTED FOREST PLACEMAT,2011-12-04,14,23.099999999999998,1.65,2011,12,4,48,4,6,6.0,0.0,2.75,130.0
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,2011-12-04,13,8.11,1.0133333333333334,2011,12,4,48,4,6,42.0,8.0,19.0,12.0
85106,CUT GLASS HEXAGON T-LIGHT HOLDER,2011-12-04,2,5.1,2.55,2011,12,4,48,4,6,4.0,0.0,1.0,12.0
85099F,JUMBO BAG STRAWBERRY,2011-12-04,436,823.13,2.271527777777778,2011,12,4,48,4,6,42.0,196.0,188.0,67.0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,2011-12-04,414,825.17,2.449652777777778,2011,12,4,48,4,6,203.0,620.0,316.5,204.0
85099B,JUMBO BAG RED RETROSPOT,2011-12-04,1050,2126.85,2.456780626780627,2011,12,4,48,4,6,753.0,1602.0,1404.25,692.0
85095,THREE CANVAS LUGGAGE TAGS,2011-12-04,1,4.13,4.13,2011,12,4,48,4,6,1.0,0.0,4.0,1.0
85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,2011-12-04,9,3.5100000000000002,0.39,2011,12,4,48,4,6,1.0,26.0,17.25,6.0
85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2011-12-04,12,10.49,1.11625,2011,12,4,48,4,6,5.0,73.0,22.25,6.0
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2011-12-04,14,5.46,0.39,2011,12,4,48,4,6,9.0,78.0,45.0,96.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-12-04,725,1952.3899999999999,3.202599456099456,2011,12,4,48,4,6,897.0,1322.0,1124.0,986.0
72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,2011-12-04,8,33.04,4.13,2011,12,4,48,4,6,10.0,3.0,4.5,3.0
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,2011-12-04,20,48.09,2.709,2011,12,4,48,4,6,35.0,9.0,23.75,1.0
72232,FENG SHUI PILLAR CANDLE,2011-12-04,156,29.64,0.19,2011,12,4,48,4,6,0.0,84.0,55.0,72.0
22884,NUMBER TILE VINTAGE FONT 5,2011-12-04,3,8.03,3.04,2011,12,4,48,4,6,2.0,0.0,0.5,1.0
22882,NUMBER TILE VINTAGE FONT 3,2011-12-04,1,1.95,1.95,2011,12,4,48,4,6,0.0,2.0,1.0,1.0
22870,NUMBER TILE COTTAGE GARDEN 2,2011-12-04,1,4.13,4.13,2011,12,4,48,4,6,0.0,0.0,0.5,1.0
22867,HAND WARMER BIRD DESIGN,2011-12-04,258,575.2,2.5340000000000003,2011,12,4,48,4,6,259.0,386.0,399.25,657.0
22866,HAND WARMER SCOTTY DOG DESIGN,2011-12-04,440,928.7800000000001,2.4361767676767676,2011,12,4,48,4,6,217.0,444.0,507.25,651.0
22865,HAND WARMER OWL DESIGN,2011-12-04,593,1248.01,2.4990856569900686,2011,12,4,48,4,6,344.0,530.0,565.25,648.0
22863,SOAP DISH BROCANTE,2011-12-04,9,26.55,2.95,2011,12,4,48,4,6,1.0,25.0,10.5,31.0
22853,CAT BOWL VINTAGE CREAM,2011-12-04,8,26.0,3.25,2011,12,4,48,4,6,28.0,3.0,9.75,1.0
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,2011-12-04,32,28.759999999999998,1.045,2011,12,4,48,4,6,113.0,37.0,50.25,6.0
22847,BREAD BIN DINER STYLE IVORY,2011-12-04,25,440.42999999999995,18.265555555555554,2011,12,4,48,4,6,22.0,21.0,20.75,4.0
22846,BREAD BIN DINER STYLE RED ,2011-12-04,28,491.62,20.19222222222222,2011,12,4,48,4,6,18.0,8.0,12.75,17.0
22845,VINTAGE CREAM CAT FOOD CONTAINER,2011-12-04,9,75.48,8.64125,2011,12,4,48,4,6,36.0,9.0,15.75,9.0
22844,VINTAGE CREAM DOG FOOD CONTAINER,2011-12-04,16,192.91,11.54875,2011,12,4,48,4,6,40.0,16.0,23.25,13.0
22843,BISCUIT TIN VINTAGE GREEN,2011-12-04,3,26.79,10.02,2011,12,4,48,4,6,1.0,4.0,3.5,2.0
22842,BISCUIT TIN VINTAGE RED,2011-12-04,3,20.25,6.75,2011,12,4,48,4,6,5.0,15.0,10.5,8.0
22841,ROUND CAKE TIN VINTAGE GREEN,2011-12-04,3,23.85,7.95,2011,12,4,48,4,6,11.0,1.0,9.5,8.0
22840,ROUND CAKE TIN VINTAGE RED,2011-12-04,14,119.14,9.518,2011,12,4,48,4,6,9.0,14.0,17.0,10.0
22839,3 TIER CAKE TIN GREEN AND CREAM,2011-12-04,4,88.24000000000001,19.69,2011,12,4,48,4,6,16.0,16.0,9.5,8.0
22838,3 TIER CAKE TIN RED AND CREAM,2011-12-04,7,161.53,22.850000000000005,2011,12,4,48,4,6,4.0,61.0,22.5,6.0
22835,HOT WATER BOTTLE I AM SO POORLY,2011-12-04,253,1337.96,5.982686507936509,2011,12,4,48,4,6,251.0,259.0,221.0,79.0
22107,PIZZA PLATE IN BOX,2011-12-04,51,155.53,3.142916666666667,2011,12,4,48,4,6,39.0,43.0,37.0,19.0
22832,BROCANTE SHELF WITH HOOKS,2011-12-04,1,10.75,10.75,2011,12,4,48,4,6,14.0,4.0,5.25,6.0
22831,WHITE BROCANTE SOAP DISH,2011-12-04,25,79.43,3.423333333333334,2011,12,4,48,4,6,8.0,2.0,4.0,3.0
22822,CREAM WALL PLANTER HEART SHAPED,2011-12-04,3,30.87,10.290000000000001,2011,12,4,48,4,6,1.0,4.0,2.0,6.0
22821,GIFT BAG PSYCHEDELIC APPLES,2011-12-04,37,26.389999999999997,0.776,2011,12,4,48,4,6,12.0,61.0,23.0,12.0
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2011-12-04,3,39.86,14.955,2011,12,4,48,4,6,23.0,4.0,14.75,9.0
22819,"BIRTHDAY CARD, RETRO SPOT",2011-12-04,41,17.22,0.42,2011,12,4,48,4,6,163.0,37.0,79.0,24.0
22891,TEA FOR ONE POLKADOT,2011-12-04,12,79.28,6.7749999999999995,2011,12,4,48,4,6,15.0,14.0,10.75,4.0
22894,TABLECLOTH RED APPLES DESIGN ,2011-12-04,8,79.6,9.95,2011,12,4,48,4,6,0.0,0.0,0.75,1.0
22922,FRIDGE MAGNETS US DINER ASSORTED,2011-12-04,132,96.6,0.7849999999999999,2011,12,4,48,4,6,12.0,22.0,19.0,12.0
22921,HERB MARKER CHIVES ,2011-12-04,55,35.75000000000001,0.65,2011,12,4,48,4,6,3.0,1.0,8.0,10.0
22920,HERB MARKER BASIL,2011-12-04,44,29.580000000000002,0.7725,2011,12,4,48,4,6,12.0,15.0,13.0,22.0
22919,HERB MARKER MINT,2011-12-04,57,38.03,0.7725,2011,12,4,48,4,6,4.0,1.0,7.75,10.0
22918,HERB MARKER PARSLEY,2011-12-04,54,35.10000000000001,0.65,2011,12,4,48,4,6,7.0,14.0,12.25,22.0
22917,HERB MARKER ROSEMARY,2011-12-04,56,38.36000000000001,0.944,2011,12,4,48,4,6,6.0,15.0,12.5,20.0
22916,HERB MARKER THYME,2011-12-04,44,30.560000000000002,0.944,2011,12,4,48,4,6,5.0,13.0,11.5,21.0
22915,ASSORTED BOTTLE TOP  MAGNETS ,2011-12-04,114,52.5,0.5883333333333333,2011,12,4,48,4,6,54.0,72.0,62.25,56.0
22914,BLUE COAT RACK PARIS FASHION,2011-12-04,5,24.75,4.95,2011,12,4,48,4,6,5.0,2.0,3.25,17.0
22913,RED COAT RACK PARIS FASHION,2011-12-04,3,14.850000000000001,4.95,2011,12,4,48,4,6,4.0,2.0,2.75,8.0
22912,YELLOW COAT RACK PARIS FASHION,2011-12-04,2,9.9,4.95,2011,12,4,48,4,6,4.0,6.0,3.5,5.0
22911,PAPER CHAIN KIT LONDON,2011-12-04,4,14.64,4.37,2011,12,4,48,4,6,9.0,93.0,27.75,3.0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2011-12-04,597,2046.69,3.481491274928775,2011,12,4,48,4,6,1039.0,1216.0,873.5,526.0
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2011-12-04,345,316.65,0.9474999999999999,2011,12,4,48,4,6,265.0,714.0,576.5,315.0
22908,PACK OF 20 NAPKINS RED APPLES,2011-12-04,37,34.56999999999999,1.123,2011,12,4,48,4,6,25.0,40.0,36.0,1.0
22907,PACK OF 20 NAPKINS PANTRY DESIGN,2011-12-04,91,81.25,0.967,2011,12,4,48,4,6,84.0,23.0,63.25,11.0
22906,12 MESSAGE CARDS WITH ENVELOPES,2011-12-04,17,29.689999999999998,1.9233333333333331,2011,12,4,48,4,6,23.0,64.0,56.75,18.0
22905,CALENDAR IN SEASON DESIGN,2011-12-04,72,169.86,2.1574999999999998,2011,12,4,48,4,6,26.0,31.0,24.0,7.0
22902,TOTE BAG I LOVE LONDON,2011-12-04,15,33.53,2.776666666666667,2011,12,4,48,4,6,11.0,84.0,28.75,15.0
22900,SET 2 TEA TOWELS I LOVE LONDON ,2011-12-04,69,251.43,4.834333333333333,2011,12,4,48,4,6,37.0,66.0,87.0,0.0
22899,CHILDREN'S APRON DOLLY GIRL ,2011-12-04,40,90.09,2.692083333333333,2011,12,4,48,4,6,153.0,32.0,76.5,22.0
22898,CHILDRENS APRON APPLES DESIGN,2011-12-04,74,222.25,3.114861111111111,2011,12,4,48,4,6,83.0,110.0,102.25,55.0
22897,OVEN MITT APPLES DESIGN,2011-12-04,16,31.09,2.2755555555555556,2011,12,4,48,4,6,26.0,34.0,43.75,4.0
22896,PEG BAG APPLES DESIGN,2011-12-04,10,28.74,3.1979999999999995,2011,12,4,48,4,6,2.0,14.0,25.25,59.0
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2011-12-04,26,108.16,4.846111111111111,2011,12,4,48,4,6,39.0,32.0,36.25,23.0
22893,MINI CAKE STAND T-LIGHT HOLDER,2011-12-04,19,15.77,0.83,2011,12,4,48,4,6,7.0,4.0,13.25,24.0
22818,CARD CHRISTMAS VILLAGE,2011-12-04,378,158.76,0.42,2011,12,4,48,4,6,313.0,325.0,277.25,187.0
22817,CARD SUKI BIRTHDAY,2011-12-04,55,23.1,0.42,2011,12,4,48,4,6,82.0,38.0,92.25,12.0
22816,CARD MOTORBIKE SANTA,2011-12-04,184,77.28,0.42,2011,12,4,48,4,6,339.0,359.0,369.25,174.0
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2011-12-04,124,157.42000000000002,1.6533333333333333,2011,12,4,48,4,6,84.0,70.0,74.75,76.0
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-04,43,57.38,1.7541666666666667,2011,12,4,48,4,6,13.0,54.0,37.25,108.0
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-04,42,54.92,1.492,2011,12,4,48,4,6,0.0,38.0,24.5,36.0
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-04,93,143.77,1.91125,2011,12,4,48,4,6,51.0,49.0,51.5,88.0
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-04,102,144.58,1.7225000000000001,2011,12,4,48,4,6,106.0,62.0,134.0,130.0
22770,MIRROR CORNICE,2011-12-04,4,59.8,14.95,2011,12,4,48,4,6,2.0,0.0,1.25,1.0
22768,FAMILY PHOTO FRAME CORNICE,2011-12-04,8,79.6,9.95,2011,12,4,48,4,6,36.0,13.0,23.75,25.0
22767,TRIPLE PHOTO FRAME CORNICE ,2011-12-04,10,99.5,9.95,2011,12,4,48,4,6,12.0,5.0,17.75,11.0
22766,PHOTO FRAME CORNICE,2011-12-04,29,88.39000000000001,3.518,2011,12,4,48,4,6,62.0,32.0,68.0,28.0
22763,KEY CABINET MA CAMPAGNE,2011-12-04,6,59.699999999999996,9.95,2011,12,4,48,4,6,10.0,3.0,5.0,2.0
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,2011-12-04,3,44.849999999999994,14.95,2011,12,4,48,4,6,8.0,0.0,3.0,1.0
22761,CHEST 7 DRAWER MA CAMPAGNE,2011-12-04,1,24.95,24.95,2011,12,4,48,4,6,2.0,1.0,0.75,1.0
22759,SET OF 3 NOTEBOOKS IN PARCEL,2011-12-04,147,213.74999999999997,1.5833333333333333,2011,12,4,48,4,6,40.0,246.0,195.5,80.0
22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,2011-12-04,35,34.83,1.5391666666666666,2011,12,4,48,4,6,12.0,7.0,24.75,8.0
22757,LARGE RED BABUSHKA NOTEBOOK ,2011-12-04,29,48.35,1.8549999999999998,2011,12,4,48,4,6,34.0,7.0,16.5,6.0
22756,LARGE YELLOW BABUSHKA NOTEBOOK ,2011-12-04,17,27.299999999999997,2.1574999999999998,2011,12,4,48,4,6,32.0,3.0,15.25,2.0
22755,SMALL PURPLE BABUSHKA NOTEBOOK ,2011-12-04,41,27.09,0.9105555555555555,2011,12,4,48,4,6,37.0,33.0,46.0,18.0
22754,SMALL RED BABUSHKA NOTEBOOK ,2011-12-04,82,58.8,1.1766666666666665,2011,12,4,48,4,6,55.0,57.0,43.5,23.0
22753,SMALL YELLOW BABUSHKA NOTEBOOK ,2011-12-04,101,49.370000000000005,0.6366666666666666,2011,12,4,48,4,6,47.0,37.0,36.25,20.0
22752,SET 7 BABUSHKA NESTING BOXES,2011-12-04,67,579.55,10.800416666666667,2011,12,4,48,4,6,72.0,80.0,50.0,257.0
22751,FELTCRAFT PRINCESS OLIVIA DOLL,2011-12-04,50,194.92000000000002,4.079777777777778,2011,12,4,48,4,6,21.0,46.0,35.5,45.0
22750,FELTCRAFT PRINCESS LOLA DOLL,2011-12-04,72,273.71000000000004,3.9045833333333335,2011,12,4,48,4,6,75.0,87.0,63.5,67.0
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2011-12-04,92,352.42,4.456666666666667,2011,12,4,48,4,6,67.0,149.0,78.25,65.0
22748,POPPY'S PLAYHOUSE KITCHEN,2011-12-04,35,90.09,3.045,2011,12,4,48,4,6,51.0,168.0,67.75,68.0
22747,POPPY'S PLAYHOUSE BATHROOM,2011-12-04,11,32.76,3.101,2011,12,4,48,4,6,23.0,27.0,16.25,25.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-12-04,14,209.37,16.4565,2011,12,4,48,4,6,20.0,26.0,20.0,29.0
22779,WOODEN OWLS LIGHT GARLAND ,2011-12-04,24,102.0,4.25,2011,12,4,48,4,6,36.0,10.0,20.0,209.0
22780,LIGHT GARLAND BUTTERFILES PINK,2011-12-04,21,89.25,4.25,2011,12,4,48,4,6,36.0,16.0,17.0,209.0
22781,GUMBALL MAGAZINE RACK,2011-12-04,11,120.7,12.767,2011,12,4,48,4,6,19.0,18.0,15.5,11.0
22815,CARD PSYCHEDELIC APPLES,2011-12-04,29,12.18,0.42000000000000004,2011,12,4,48,4,6,54.0,40.0,73.25,48.0
22814,CARD PARTY GAMES ,2011-12-04,30,12.6,0.42000000000000004,2011,12,4,48,4,6,67.0,33.0,47.25,29.0
22813,PACK 3 BOXES BIRD PANNETONE ,2011-12-04,12,23.4,1.95,2011,12,4,48,4,6,35.0,0.0,19.75,33.0
22813,PACK 3 BOXES BIRD PANETTONE ,2011-12-04,35,92.22999999999999,3.04,2011,12,4,48,4,6,0.0,20.0,38.0,114.0
22812,PACK 3 BOXES CHRISTMAS PANETTONE,2011-12-04,19,69.75,3.887777777777778,2011,12,4,48,4,6,21.0,32.0,29.25,100.0
22811,SET OF 6 T-LIGHTS CACTI ,2011-12-04,103,254.69,3.8125,2011,12,4,48,4,6,163.0,6.0,49.0,1.0
22810,SET OF 6 T-LIGHTS SNOWMEN,2011-12-04,43,123.81,3.2900000000000005,2011,12,4,48,4,6,100.0,57.0,82.75,45.0
22809,SET OF 6 T-LIGHTS SANTA,2011-12-04,138,413.02000000000004,3.5520000000000005,2011,12,4,48,4,6,65.0,104.0,86.75,39.0
22807,SET OF 6 T-LIGHTS TOADSTOOLS,2011-12-04,29,98.05000000000001,4.172,2011,12,4,48,4,6,21.0,6.0,16.0,26.0
22806,SET OF 6 T-LIGHTS WEDDING CAKE ,2011-12-04,6,17.700000000000003,2.95,2011,12,4,48,4,6,18.0,0.0,4.75,6.0
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-04,55,74.8,1.855,2011,12,4,48,4,6,28.0,1.0,27.75,37.0
22804,PINK HANGING HEART T-LIGHT HOLDER,2011-12-04,16,50.040000000000006,3.518,2011,12,4,48,4,6,681.0,61.0,194.25,40.0
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,2011-12-04,132,96.6,0.7849999999999999,2011,12,4,48,4,6,1.0,20.0,18.75,30.0
22802,FAUX FUR CHOCOLATE THROW,2011-12-04,6,59.7,13.95,2011,12,4,48,4,6,5.0,0.0,2.75,9.0
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,2011-12-04,38,168.47,4.986666666666667,2011,12,4,48,4,6,12.0,29.0,16.75,40.0
22799,SWEETHEART WIRE FRUIT BOWL,2011-12-04,18,77.88,7.7575,2011,12,4,48,4,6,5.0,1.0,2.25,1.0
22798,ANTIQUE GLASS DRESSING TABLE POT,2011-12-04,90,276.86,3.4233333333333333,2011,12,4,48,4,6,69.0,43.0,36.5,37.0
22797,CHEST OF DRAWERS GINGHAM HEART ,2011-12-04,3,50.849999999999994,16.95,2011,12,4,48,4,6,10.0,0.0,3.25,5.0
22796,PHOTO FRAME 3 CLASSIC HANGING,2011-12-04,11,109.44999999999999,9.95,2011,12,4,48,4,6,26.0,13.0,15.25,3.0
22795,SWEETHEART RECIPE BOOK STAND,2011-12-04,38,289.48,7.985200000000001,2011,12,4,48,4,6,43.0,30.0,34.75,18.0
22794,SWEETHEART WIRE MAGAZINE RACK,2011-12-04,5,39.75,7.95,2011,12,4,48,4,6,1.0,4.0,4.5,6.0
22792,FLUTED ANTIQUE CANDLE HOLDER,2011-12-04,270,263.82,1.1533333333333333,2011,12,4,48,4,6,168.0,363.0,186.0,31.0
22791,T-LIGHT GLASS FLUTED ANTIQUE,2011-12-04,387,448.76,1.2990000000000002,2011,12,4,48,4,6,271.0,281.0,308.0,202.0
22786,CUSHION COVER PINK UNION JACK,2011-12-04,4,23.8,5.95,2011,12,4,48,4,6,1.0,2.0,1.25,4.0
22785,SQUARECUSHION COVER PINK UNION JACK,2011-12-04,1,6.75,6.75,2011,12,4,48,4,6,3.0,1.0,2.5,6.0
22784,LANTERN CREAM GAZEBO ,2011-12-04,24,159.68,7.480666666666666,2011,12,4,48,4,6,54.0,55.0,29.75,17.0
22801,ANTIQUE GLASS PEDESTAL BOWL,2011-12-04,42,160.82,5.162000000000001,2011,12,4,48,4,6,51.0,38.0,31.75,29.0
22745,POPPY'S PLAYHOUSE BEDROOM ,2011-12-04,29,76.65,3.0975,2011,12,4,48,4,6,52.0,137.0,59.0,64.0
22924,FRIDGE MAGNETS LA VIE EN ROSE,2011-12-04,138,107.39999999999999,1.1233333333333333,2011,12,4,48,4,6,18.0,18.0,19.5,36.0
22938,CUPCAKE LACE PAPER SET 6,2011-12-04,1,1.95,1.95,2011,12,4,48,4,6,246.0,40.0,99.75,33.0
47590A,BLUE HAPPY BIRTHDAY BUNTING,2011-12-04,7,38.150000000000006,5.45,2011,12,4,48,4,6,9.0,59.0,31.0,63.0
47580,TEA TIME DES TEA COSY,2011-12-04,3,7.6499999999999995,2.55,2011,12,4,48,4,6,7.0,3.0,4.25,10.0
47567B,TEA TIME KITCHEN APRON,2011-12-04,19,113.05000000000001,5.95,2011,12,4,48,4,6,28.0,3.0,12.25,11.0
47566B,TEA TIME PARTY BUNTING,2011-12-04,2,9.9,4.95,2011,12,4,48,4,6,0.0,3.0,4.5,19.0
47566,PARTY BUNTING,2011-12-04,105,735.8299999999999,6.653333333333332,2011,12,4,48,4,6,455.0,218.0,227.5,19.0
47563A,RETRO LONGBOARD IRONING BOARD COVER,2011-12-04,14,31.78,2.066,2011,12,4,48,4,6,4.0,6.0,6.75,2.0
47559B,TEA TIME OVEN GLOVE,2011-12-04,166,193.08,1.4528333333333332,2011,12,4,48,4,6,27.0,74.0,51.25,26.0
47504H,ENGLISH ROSE SPIRIT LEVEL ,2011-12-04,47,44.63,1.7899999999999998,2011,12,4,48,4,6,36.0,33.0,22.5,2.0
47471,RAINBOW PEGS PHOTO CLIP STRING,2011-12-04,4,2.6,0.65,2011,12,4,48,4,6,1.0,2.0,7.25,1.0
47422,ASSORTED MONKEY SUCTION CUP HOOK,2011-12-04,4,1.68,0.42,2011,12,4,48,4,6,2.0,14.0,11.25,1.0
47421,ASSORTED COLOUR LIZARD SUCTION HOOK,2011-12-04,30,12.6,0.42,2011,12,4,48,4,6,10.0,6.0,40.5,24.0
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,2011-12-04,4,23.16,5.79,2011,12,4,48,4,6,0.0,2.0,0.75,1.0
47369A,PINK GREEN EMBROIDERY COSMETIC BAG,2011-12-04,3,17.37,5.79,2011,12,4,48,4,6,0.0,1.0,0.25,1.0
46776B,WOVEN BERRIES CUSHION COVER ,2011-12-04,7,28.91,4.13,2011,12,4,48,4,6,9.0,6.0,7.25,2.0
46775D,SUNSET COLOUR CHUNKY KNITTED THROW,2011-12-04,1,16.95,16.95,2011,12,4,48,4,6,0.0,2.0,1.0,1.0
46000S,POLYESTER FILLER PAD 40x40cm,2011-12-04,39,56.55,1.45,2011,12,4,48,4,6,19.0,98.0,52.75,3.0
46000R,POLYESTER FILLER PAD 45x30cm,2011-12-04,2,2.9,1.45,2011,12,4,48,4,6,0.0,2.0,5.0,3.0
46000M,POLYESTER FILLER PAD 45x45cm,2011-12-04,31,48.050000000000004,1.55,2011,12,4,48,4,6,19.0,38.0,34.5,10.0
44234,ASSORTED CIRCULAR MOBILE,2011-12-04,5,1.05,0.21,2011,12,4,48,4,6,0.0,9.0,8.25,2.0
37450,CERAMIC CAKE BOWL + HANGING CAKES,2011-12-04,7,20.650000000000002,2.95,2011,12,4,48,4,6,7.0,13.0,12.0,7.0
37449,CERAMIC CAKE STAND + HANGING CAKES,2011-12-04,9,89.54999999999998,9.95,2011,12,4,48,4,6,5.0,8.0,8.75,21.0
37448,CERAMIC CAKE DESIGN SPOTTED MUG,2011-12-04,43,71.27,2.2775,2011,12,4,48,4,6,24.0,7.0,28.0,36.0
37446,MINI CAKE STAND WITH HANGING CAKES,2011-12-04,26,37.699999999999996,1.45,2011,12,4,48,4,6,11.0,8.0,15.5,67.0
35971,ROSE FOLKART HEART DECORATIONS,2011-12-04,5,9.879999999999999,2.2583333333333333,2011,12,4,48,4,6,3.0,28.0,28.75,8.0
35970,ZINC FOLKART SLEIGH BELLS,2011-12-04,319,633.82,2.4474973544973544,2011,12,4,48,4,6,393.0,420.0,449.25,13.0
47590B,PINK HAPPY BIRTHDAY BUNTING,2011-12-04,16,92.54,6.518000000000001,2011,12,4,48,4,6,8.0,59.0,30.75,19.0
35967,FOLK ART METAL STAR T-LIGHT HOLDER,2011-12-04,24,12.72,0.6799999999999999,2011,12,4,48,4,6,28.0,23.0,24.25,27.0
47591D,PINK FAIRY CAKE CHILDRENS APRON,2011-12-04,101,190.67000000000002,2.2179444444444445,2011,12,4,48,4,6,177.0,194.0,157.75,81.0
47593B,SCOTTIE DOGS BABY BIB,2011-12-04,26,21.58,0.8299999999999998,2011,12,4,48,4,6,38.0,17.0,52.0,8.0
72133,COLUMBIAN CANDLE RECTANGLE,2011-12-04,6,7.5,1.25,2011,12,4,48,4,6,6.0,0.0,1.5,6.0
72130,COLUMBIAN CANDLE ROUND,2011-12-04,1,1.63,1.63,2011,12,4,48,4,6,4.0,19.0,7.25,1.0
71477,COLOURED GLASS STAR T-LIGHT HOLDER,2011-12-04,309,1075.83,4.452333333333334,2011,12,4,48,4,6,4.0,360.0,138.0,1.0
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2011-12-04,4,15.8,3.95,2011,12,4,48,4,6,360.0,168.0,165.0,19.0
71459,HANGING JAM JAR T-LIGHT HOLDERS,2011-12-04,124,96.16000000000001,1.0983333333333334,2011,12,4,48,4,6,60.0,384.0,194.0,32.0
71406C,BLACK ORANGE SQUEEZER,2011-12-04,6,2.52,0.42,2011,12,4,48,4,6,1.0,12.0,5.0,13.0
71270,PHOTO CLIP LINE,2011-12-04,1,1.25,1.25,2011,12,4,48,4,6,7.0,3.0,7.75,4.0
71053,WHITE MOROCCAN METAL LANTERN,2011-12-04,23,145.26999999999998,6.2091666666666665,2011,12,4,48,4,6,31.0,2.0,25.75,79.0
70007,HI TEC ALPINE HAND WARMER,2011-12-04,23,42.86999999999999,2.6522222222222225,2011,12,4,48,4,6,20.0,45.0,26.5,20.0
70006,LOVE HEART POCKET WARMER,2011-12-04,32,27.78,2.04,2011,12,4,48,4,6,16.0,31.0,17.25,11.0
62018,SOMBRERO ,2011-12-04,204,257.8,1.6,2011,12,4,48,4,6,3.0,6.0,7.0,2.0
51014L,"FEATHER PEN,LIGHT PINK",2011-12-04,98,44.38,0.5660000000000001,2011,12,4,48,4,6,197.0,56.0,98.25,12.0
51014C,"FEATHER PEN,COAL BLACK",2011-12-04,49,24.83,0.5660000000000001,2011,12,4,48,4,6,172.0,277.0,218.0,97.0
51014A,"FEATHER PEN,HOT PINK",2011-12-04,96,53.28,0.5366666666666666,2011,12,4,48,4,6,302.0,300.0,248.75,25.0
48194,DOORMAT HEARTS,2011-12-04,16,173.92000000000002,10.934000000000001,2011,12,4,48,4,6,112.0,33.0,49.25,80.0
48188,DOORMAT WELCOME PUPPIES,2011-12-04,1,8.25,8.25,2011,12,4,48,4,6,3.0,10.0,13.0,2.0
48187,DOORMAT NEW ENGLAND,2011-12-04,81,586.35,8.00625,2011,12,4,48,4,6,96.0,21.0,43.75,46.0
48185,DOORMAT FAIRY CAKE,2011-12-04,33,263.92999999999995,9.723333333333333,2011,12,4,48,4,6,57.0,22.0,27.5,16.0
48184,DOORMAT ENGLISH ROSE ,2011-12-04,24,193.84,8.77,2011,12,4,48,4,6,84.0,13.0,36.75,45.0
48173C,DOORMAT BLACK FLOCK ,2011-12-04,14,103.8,7.859999999999999,2011,12,4,48,4,6,76.0,4.0,25.75,3.0
48138,DOORMAT UNION FLAG,2011-12-04,35,327.40999999999997,10.389166666666666,2011,12,4,48,4,6,91.0,45.0,50.25,37.0
48129,DOORMAT TOPIARY,2011-12-04,7,65.28999999999999,10.763333333333334,2011,12,4,48,4,6,14.0,8.0,11.0,14.0
